"PK","SK","category","contextualSubtitle","created_at","definitions","difficulty","examples","id","learningPaths","relatedTerms","title","updated_at","visualCue"
"TERM#churn","META","Growth","","1750498254","{""basic"":{""S"":""Churn rate is the percentage of customers who stop using your product over a given period.""},""contextual"":{""S"":""For founders, churn is the enemy of growth. High churn means your growth efforts are like filling a leaky bucket.""},""metaphor"":{""S"":""Churn is like holes in a bucket - no matter how fast you pour water in (acquire customers), it keeps leaking out the bottom.""}}","3","{""generic"":{""S"":""If you start with 100 customers and 5 cancel in a month, your monthly churn is 5%.""},""startup"":{""S"":""Your SaaS reduced churn from 8% to 3% monthly by improving onboarding, dramatically improving unit economics.""}}","churn","[{""S"":""growth""},{""S"":""saas""}]","[{""S"":""retention""},{""S"":""ltv""},{""S"":""cohort""}]","Churn Rate","1750498254",""
"TERM#cash-flow","META","Cash Flow","Your operating cash flow last month was {ocf}.","1753888214","{""basic"":{""S"":""Cash flow is the net amount of cash and cash-equivalents being transferred into and out of a business.""},""contextual"":{""S"":""Cash is king. Unlike profit, which can include non-cash items, cash flow is the real money you have to pay bills, salaries, and invest in growth. A profitable company can go bankrupt from poor cash flow.""},""metaphor"":{""S"":""Think of cash flow as the breathing of your business. Cash in is inhaling, cash out is exhaling. You need to inhale more than you exhale to stay alive.""}}","2","{""generic"":{""S"":""A business receives $100k and spends $80k in a month, resulting in $20k positive cash flow.""},""startup"":{""S"":""Last month, your operations generated a net cash flow of {ocf}.""}}","cash-flow","[{""S"":""fundamentals""}]","[{""S"":""burn-rate""},{""S"":""runway""},{""S"":""working-capital""}]","Cash Flow","1753888214","DailyCashFlowChart"
"TERM#expense-ratio","META","Fundamentals","""Your expense ratio is {expense_ratio}%, showing how much of revenue goes to expenses.""","1760963587","{""basic"":{""S"":""Expense ratio is the percentage of revenue consumed by total operating expenses. It shows what portion of each dollar earned goes toward running the business.""},""contextual"":{""S"":""For founders, keeping expense ratio under control is crucial for profitability. A lower ratio means more revenue converts to profit. High-growth companies often have higher ratios as they invest in growth.""},""metaphor"":{""S"":""Expense ratio is like checking how much of every dollar you earn gets eaten up by your bills and expenses. If it's 60%, then 60 cents of every dollar goes right back out the door.""}}","2","{""generic"":{""S"":""A company with $1M revenue and $600k in operating expenses has a 60% expense ratio.""},""startup"":{""S"":""Your expense ratio of {expense_ratio}% means that for every dollar of revenue, {expense_ratio} cents go to operating expenses.""}}","expense-ratio","[{""S"":""fundamentals""}]","[{""S"":""gross-margin""},{""S"":""operating-margin""},{""S"":""burn-rate""}]","Expense Ratio","1760963587","RevenueChart"
"TERM#cash_balance","META","Cash Flow","Your current cash balance across all accounts is {cash_balance}.","1753888215","{""basic"":{""S"":""Cash balance is the total amount of money a company has on hand, including cash in bank accounts and any other cash equivalents.""},""contextual"":{""S"":""This is your most critical asset. It's the real, liquid capital you have available to run your business day-to-day.""},""metaphor"":{""S"":""Your cash balance is the amount of water you have in your canteen. It determines how far you can travel before you need to find a new spring.""}}","2","{""generic"":{""S"":""A company has $1M in its bank accounts.""},""startup"":{""S"":""Your real-time cash balance is currently {cash_balance}. This is the total liquid capital available for operations.""}}","cash_balance","[{""S"":""fundamentals""}]","[{""S"":""runway""},{""S"":""cash-flow""},{""S"":""ocf""}]","Cash Balance","1753888215","DailyCashFlowChart"
"TERM#ocf","META","Cash Flow","Last month's operating cash flow was {ocf}.","1753888215","{""basic"":{""S"":""Operating Cash Flow (OCF) is the amount of cash generated by a company's normal business operations.""},""contextual"":{""S"":""OCF is a key indicator of a company's financial health. A positive OCF means your core business is generating enough cash to sustain and grow itself without needing external financing.""},""metaphor"":{""S"":""If your business is a tree, OCF is the fruit it produces naturally each season, separate from any money you might borrow or get from investors.""}}","2","{""generic"":{""S"":""A business generated $50,000 from its main operations after accounting for cash expenses.""},""startup"":{""S"":""The cash generated from your core business last month was {ocf}. A positive number indicates operational health.""}}","ocf","[{""S"":""fundamentals""}]","[{""S"":""cash_balance""},{""S"":""profit""},{""S"":""revenue""}]","Operating Cash Flow","1753888215","DailyCashFlowChart"
"TERM#revenue","META","Fundamentals","Your total revenue last period was {total_revenue}. Let's break that down.","1753888213","{""basic"":{""S"":""Revenue is the total amount of money your business brings in from selling products or services.""},""contextual"":{""S"":""For founders, revenue is your business's lifeline - it's proof that customers value what you're building and are willing to pay for it.""},""metaphor"":{""S"":""Think of revenue like water flowing into a bucket. The faster it flows and the bigger the stream, the fuller your bucket gets.""}}","2","{""generic"":{""S"":""A coffee shop sells 100 cups at $5 each, generating $500 in revenue for the day.""},""startup"":{""S"":""In the last reporting period, your business generated {total_revenue} in total revenue.""}}","revenue","[{""S"":""fundamentals""}]","[{""S"":""profit""},{""S"":""gross-margin""},{""S"":""arr""}]","Revenue","1753888213","RevenueChart"
"TERM#net-income","META","Fundamentals","""Your net income is {net_income}, the bottom line after all expenses.""","1760963588","{""basic"":{""S"":""Net income, also called the 'bottom line,' is what remains after all expenses, including operating costs, interest, taxes, and depreciation, have been subtracted from total revenue.""},""contextual"":{""S"":""For founders, net income is the ultimate measure of profitability. Positive net income means your business is truly profitable. Negative net income (a loss) indicates you're burning more than you're earning, which is common for growth-stage startups but unsustainable long-term.""},""metaphor"":{""S"":""Net income is the bottom of the funnel - everything flows in at the top (revenue), but after the business, the tax man, and the bank all take their cut, this is what actually lands in your pocket.""}}","2","{""generic"":{""S"":""A company with $1M revenue and $900k in all expenses has $100k net income.""},""startup"":{""S"":""Your net income of {net_income} represents your true profitability after accounting for every cost of doing business.""}}","net-income","[{""S"":""fundamentals""}]","[{""S"":""profit""},{""S"":""revenue""},{""S"":""gross-margin""}]","Net Income","1760963588","RevenueChart"
"TERM#asset-turnover","META","Efficiency","""Your asset turnover is {asset_turnover}, measuring asset efficiency.""","1760963594","{""basic"":{""S"":""Asset Turnover measures how efficiently a company uses its assets to generate revenue. It's calculated as Revenue ÷ Total Assets.""},""contextual"":{""S"":""For founders, higher asset turnover means you're generating more revenue per dollar of assets - a sign of operational efficiency. Software companies typically have high ratios, while capital-intensive businesses have lower ratios. What matters is the trend and comparison to industry peers.""},""metaphor"":{""S"":""Asset turnover is like measuring how many miles you get per gallon of gas - it shows how efficiently you're using your resources.""}}","3","{""generic"":{""S"":""A company with $2M revenue and $1M in assets has an asset turnover of 2.0.""},""startup"":{""S"":""Your asset turnover of {asset_turnover} means you generate ${asset_turnover} in revenue for every dollar of assets.""}}","asset-turnover","[{""S"":""efficiency""}]","[{""S"":""revenue""},{""S"":""return-on-equity""},{""S"":""equity-multiplier""}]","Asset Turnover","1760963594","null"
"TERM#revenue-growth","META","Growth","Your revenue grew by {revenue_growth}% compared to the previous period.","1760963588","{""basic"":{""S"":""Revenue growth is the percentage increase or decrease in revenue compared to a previous period.""},""contextual"":{""S"":""For founders and investors, revenue growth is a key indicator of market demand and business momentum. Consistent growth shows product-market fit and scalability.""},""metaphor"":{""S"":""Think of revenue growth as measuring how much faster you're running this lap compared to the last one. A 50% growth rate means you're running 1.5x faster than before.""}}","2","{""generic"":{""S"":""A company that grew from $100k to $150k in quarterly revenue has 50% revenue growth.""},""startup"":{""S"":""Your revenue increased by {revenue_growth}% this period, demonstrating {revenue_growth > 20 ? 'strong' : revenue_growth > 0 ? 'positive' : 'challenging'} market traction.""}}","revenue-growth","[{""S"":""fundamentals""},{""S"":""growth""}]","[{""S"":""revenue""},{""S"":""arr""},{""S"":""mrr""}]","Revenue Growth","1760963588","RevenueChart"
"TERM#expense-growth","META","Fundamentals","Your expenses grew by {expense_growth}% compared to the previous period.","1760963588","{""basic"":{""S"":""Expense growth is the percentage increase or decrease in total operating expenses compared to a previous period.""},""contextual"":{""S"":""For founders, expense growth should be watched carefully relative to revenue growth. Expenses growing faster than revenue erode margins and burn cash faster. Controlled expense growth shows operational discipline.""},""metaphor"":{""S"":""Expense growth is like your household bills getting bigger each month. If your bills grow 30% but your salary only grows 10%, you're heading for trouble.""}}","2","{""generic"":{""S"":""A company's expenses increased from $80k to $100k, showing 25% expense growth.""},""startup"":{""S"":""Your expenses grew by {expense_growth}% while revenue grew by {revenue_growth}%. {expense_growth > revenue_growth ? 'Consider optimizing spending to improve unit economics.' : 'You're maintaining good expense discipline.'}""}}","expense-growth","[{""S"":""fundamentals""}]","[{""S"":""burn-rate""},{""S"":""expense-ratio""},{""S"":""revenue-growth""}]","Expense Growth","1760963588","RevenueChart"
"TERM#arr","META","Growth","","1750498254","{""basic"":{""S"":""ARR is the value of recurring revenue normalized to a one-year period.""},""contextual"":{""S"":""For SaaS founders, ARR is the north star metric. It represents predictable revenue and is crucial for fundraising and valuation.""},""metaphor"":{""S"":""ARR is like having a subscription to predictable income - it's the annual value of all your recurring customer relationships.""}}","3","{""generic"":{""S"":""A company with 100 customers paying $100/month has $120k ARR.""},""startup"":{""S"":""Your SaaS grew from $100k to $500k ARR in 12 months, showing strong product-market fit.""}}","arr","[{""S"":""growth""},{""S"":""saas""}]","[{""S"":""mrr""},{""S"":""revenue""},{""S"":""churn""}]","ARR (Annual Recurring Revenue)","1750498254",""
"TERM#burn-rate","META","Cash Flow","""Your gross burn rate is {burn_rate} per month, affecting your runway of {runway_months} months.""","1753888214","{""basic"":{""S"":""Gross burn rate is the total amount of operating expenses a company incurs each month, regardless of revenue. It represents your total monthly cash outflow from operations.""},""contextual"":{""S"":""Understanding your gross burn rate is essential for managing your runway. It tells you exactly how much cash you need each month to keep the lights on, regardless of how much revenue you're generating. This metric helps you plan for worst-case scenarios and understand your true cost structure.""},""metaphor"":{""S"":""Think of gross burn rate as your monthly \""cost of existence\"" - like knowing your total monthly bills at home regardless of your income. It's the baseline amount you need to survive each month.""}}","2","{""generic"":{""S"":""A startup with $30k in salaries, $10k in rent, and $10k in other monthly expenses has a gross burn rate of $50k/month.""},""startup"":{""S"":""Your current gross burn rate is {burn_rate} per month. This is calculated as the sum of all your monthly operating expenses. With {cash_balance} in the bank, this gives you approximately {runway_months} months of runway.""}}","burn-rate","[{""S"":""fundamentals""}]","[{""S"":""runway""},{""S"":""cash-flow""},{""S"":""expenses""}]","Gross Burn Rate","1753888214","DailyCashFlowChart"
"TERM#working-capital","META","Liquidity","""Your working capital is {working_capital}, funding daily operations.""","1760963593","{""basic"":{""S"":""Working Capital is the difference between current assets and current liabilities. It represents the capital available to fund day-to-day operations.""},""contextual"":{""S"":""For founders, working capital is the cushion that keeps your business running smoothly. Positive working capital means you have more short-term assets than obligations. Negative working capital can signal liquidity issues unless you have a business model that collects cash before paying suppliers (like Amazon).""},""metaphor"":{""S"":""Working capital is like the cash cushion in your wallet after setting aside money for upcoming bills. It's your financial breathing room for daily operations - buying supplies, paying salaries, keeping the lights on.""}}","2","{""generic"":{""S"":""A company with $500k current assets and $300k current liabilities has $200k working capital.""},""startup"":{""S"":""Your working capital of {working_capital} represents the liquid resources available for day-to-day operations.""}}","working-capital","[{""S"":""fundamentals""}]","[{""S"":""current-ratio""},{""S"":""cash_balance""},{""S"":""quick-ratio""}]","Working Capital","1760963593","null"
